Plot;Trt;Species;Sp_code;X1999;X2000;X2001;X2002;X2003;X2004;X2005;X2006;X2007;X2008;X2009;X2010;X2011;X2012;X2013;X2014
21;UR;Luzula multiflora ;LuzuMult;2.27;1.83;4.39;1.834;1.767;0.247;2.139;1.831;0.078;0.692;1.235;2.182;0.83;0.678;0.799;0.766
21;UR;Lychnis flos-cuculi;LychFlos;0.56;3.21;2.84;0.8632;0.1391;0.034;0.28;3.196;0.046;0.085;0.088;0.391;0.718;0.183;0.394;0
21;UR;Molinia caerulea;MoliCaeru;0.73;2.2;1.02;3.07;4.257;1.286;6.3;2.269;5.612;5.997;4.701;6.98;3.198;6.267;6.471;4.107
21;UR;Myosotis nemorosa;MyosNemo;0;0.01;0;0;0;0;0;0.001;0;0.021;0;0;0;0;0;0
21;UR;Nardus stricta;NardStri;4.22;2.58;3.98;2.911;1.253;2.133;1.2;2.626;1.15;0.367;1.092;0.532;0.634;2.776;1.633;3.325
21;UR;Pedicularis sylvatica;PediSylv;0.01;0;0;0.1388;0.1105;0;0;0;0;0;0;0;0;0;0;0
21;UR;Plantago lanceolata;PlanLanc;1.81;5.61;15.13;6.03;3.383;3.545;4.13;5.633;6.693;6.583;6.634;2.335;2.358;2.496;1.391;2.146
21;UR;Poa pratensis s.l. ;PoaPrat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.043;0
21;UR;Potentilla erecta;PoteErec;5.3;3.54;2.98;2.959;1.844;3.744;7.7;3.579;5.534;3.004;3.841;2.51;2.727;2.083;1.336;0.064
21;UR;Prunella vulgaris;PrunVulg;0.77;1.94;1.52;0.4489;0.1595;0.332;0.2;1.993;0.031;0.011;0.022;0.297;0.058;0;0.014;0.799
21;UR;Ranunculus acer (Syn. R. acris);RanuAcri;0.3;0.36;0.74;0.5102;0;0.172;0.601;0.347;0.708;0.356;0.66;1.601;1.088;0.737;1.21;0
21;UR;Ranunculus auricomus;RanuAuri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.111
21;UR;Ranunculus nemorosus;RanuNemo;0;0;0;0;0;0.118;0.091;0;0.202;0.144;0.218;0.241;0.242;0.332;0.697;0
21;UR;Rumex acetosa;RumeAcet;0.09;0.23;1.55;0.1355;0;0.179;0;0.221;0.06;0;0;0;0;0;0;0
21;UR;Sanguisorba officinalis;SangOffi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.154
21;UR;Scirpus sylvaticus;ScirSylv;0;0;0;0;0;0;0;0;0;0;0;0;0.241;0;0;0
21;UR;Scorzonera humilis;ScorHumi;2;1.6;1.6;1.277;0.8223;1.029;0.86;1.606;0.302;0.382;0.159;0.064;0;0.304;0.062;0.258
